soubor,cesta,trida,trida_cz,pohlavi,vekova_kategorie,is_augmented,augmentation_id,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,..\dataset\discomfort\999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,discomfort,nepohodlí,chlapec,0–4 týdny,False,0,-608.0796508789062,109.77030944824219,95.8519058227539,38.468101501464844,-17.701213836669922,41.407344818115234,5.03010892868042,16.881052017211914,-6.319079399108887,21.44222068786621,-11.85373306274414,13.086005210876465,-7.070057392120361,12.429540634155273,8.162323951721191,12.870115280151367,2.236379384994507,11.066205024719238,-9.118175506591797,10.75519847869873,-10.359846115112305,13.693146705627441,-7.9973602294921875,16.30556297302246,-8.844015121459961,14.96967601776123
999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,..\dataset\discomfort\999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,discomfort,nepohodlí,chlapec,0–4 týdny,True,1,-333.0936279296875,18.920820236206055,5.252913475036621,13.867733001708984,1.687190055847168,10.734859466552734,-2.672553777694702,10.998336791992188,-2.6196229457855225,10.971582412719727,-2.3006606101989746,9.46530818939209,0.5745852589607239,7.539276123046875,1.4211297035217285,8.019763946533203,0.3314211666584015,7.938406944274902,-1.8147622346878052,8.245501518249512,-2.1860427856445312,9.054098129272461,-0.7394960522651672,11.712077140808105,0.23040331900119781,11.306530952453613
999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,..\dataset\discomfort\999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,discomfort,nepohodlí,chlapec,0–4 týdny,True,2,-333.82257080078125,18.789287567138672,4.7665791511535645,13.746074676513672,1.4937223196029663,10.954469680786133,-2.971449851989746,10.929150581359863,-3.2629687786102295,10.820651054382324,-3.044384241104126,8.966513633728027,0.21226155757904053,8.014044761657715,1.259568691253662,8.331727981567383,0.11328116059303284,8.170607566833496,-1.969770073890686,8.591520309448242,-2.5909314155578613,9.828617095947266,-0.7460726499557495,11.690618515014648,0.23061776161193848,11.130796432495117
D833237F-1F7C-4338-BEDE-84C0CF5F4145-1430084007-1.0-f-26-hu.wav,..\dataset\hungry\D833237F-1F7C-4338-BEDE-84C0CF5F4145-1430084007-1.0-f-26-hu.wav,hungry,hlad,dívka,2–6 měsíců,False,0,-463.8193664550781,89.00928497314453,79.37601470947266,21.518524169921875,-29.751680374145508,24.50840950012207,-35.7786865234375,21.564197540283203,-56.66062545776367,25.64753532409668,-0.8832522630691528,13.85236644744873,-10.156525611877441,14.222803115844727,-13.297428131103516,13.110848426818848,-21.151432037353516,14.534696578979492,-5.7991623878479,18.44599151611328,-5.750685214996338,19.375802993774414,-4.527892112731934,16.981796264648438,-11.276266098022461,22.138303756713867
549a46d8-9c84-430e-ade8-97eae2bef787-1430130714659-1.7-m-48-hu.wav,..\dataset\hungry\549a46d8-9c84-430e-ade8-97eae2bef787-1430130714659-1.7-m-48-hu.wav,hungry,hlad,chlapec,4–8 týdnů,False,0,-698.611083984375,148.93382263183594,42.359012603759766,29.83538055419922,-44.742252349853516,42.62166976928711,-3.359940528869629,12.985762596130371,-29.504539489746094,20.0300350189209,-0.9945926666259766,12.15446949005127,-2.2761714458465576,13.288555145263672,-4.548001289367676,11.480049133300781,-8.418075561523438,13.676437377929688,-8.403173446655273,11.066717147827148,-9.25722599029541,11.367512702941895,5.514187812805176,17.26784324645996,18.037708282470703,24.632022857666016
7A864194-4B6B-4850-ABBF-0C2A8170107B-1436846824-1.1-f-26-hu.wav,..\dataset\hungry\7A864194-4B6B-4850-ABBF-0C2A8170107B-1436846824-1.1-f-26-hu.wav,hungry,hlad,dívka,2–6 měsíců,False,0,-443.8287353515625,101.62168884277344,35.598915100097656,21.755041122436523,-29.723567962646484,23.529207229614258,-13.662384986877441,16.60173225402832,-22.42999839782715,14.062832832336426,-9.405810356140137,14.730196952819824,-21.427845001220703,12.54012680053711,-14.083623886108398,11.491339683532715,-15.704776763916016,13.722743034362793,-3.0382373332977295,17.92096519470215,-6.9849629402160645,19.26422119140625,-5.852407455444336,14.797847747802734,-10.88383960723877,16.70482635498047
ed31b187-34af-4ff1-979c-3b8a5905fb7b-1430045366784-1.7-f-04-hu.wav,..\dataset\hungry\ed31b187-34af-4ff1-979c-3b8a5905fb7b-1430045366784-1.7-f-04-hu.wav,hungry,hlad,dívka,0–4 týdny,False,0,-473.73333740234375,130.8827362060547,41.81519317626953,52.35833740234375,-31.2072811126709,26.63098907470703,-12.798482894897461,16.1960391998291,-7.656054496765137,14.175389289855957,2.1762731075286865,13.929370880126953,-16.408212661743164,12.738759994506836,-4.069252014160156,13.348307609558105,-11.821818351745605,13.989632606506348,-8.523746490478516,10.233559608459473,-8.203577995300293,9.904752731323242,-2.407529592514038,12.80038070678711,-6.051187992095947,17.347328186035156
7CF37029-1040-40B8-ACC9-7E6E5C03AF9B-1429808939-1.0-m-72-hu.wav,..\dataset\hungry\7CF37029-1040-40B8-ACC9-7E6E5C03AF9B-1429808939-1.0-m-72-hu.wav,hungry,hlad,chlapec,7 měsíců–2 roky,False,0,-481.7384033203125,159.23861694335938,29.66265869140625,33.156734466552734,-14.754070281982422,26.4550724029541,-8.230768203735352,25.33568000793457,-24.92169952392578,20.790037155151367,-5.372818470001221,13.094661712646484,-9.260732650756836,11.305888175964355,-3.211838722229004,13.551153182983398,-14.019766807556152,14.570734977722168,-10.402433395385742,14.2085599899292,-6.997544765472412,14.471755027770996,-7.384952068328857,15.946283340454102,-0.5864588618278503,20.15814781188965
3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430146536552-1.7-m-26-hu.wav,..\dataset\hungry\3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430146536552-1.7-m-26-hu.wav,hungry,hlad,chlapec,2–6 měsíců,False,0,-345.107177734375,110.42503356933594,-6.154775619506836,29.41880989074707,-34.12969207763672,22.557357788085938,-3.7269465923309326,19.400060653686523,-26.5273494720459,16.28438949584961,-8.658098220825195,12.953790664672852,-22.490137100219727,12.74605941772461,1.657631754875183,11.473957061767578,-21.577024459838867,12.799213409423828,2.0494163036346436,10.789928436279297,-6.648174285888672,14.257340431213379,11.95788288116455,20.5687198638916,-0.4092967212200165,21.867908477783203
999bf14b-e417-4b44-b746-9253f81efe38-1431013068243-1.7-m-26-hu.wav,..\dataset\hungry\999bf14b-e417-4b44-b746-9253f81efe38-1431013068243-1.7-m-26-hu.wav,hungry,hlad,chlapec,2–6 měsíců,False,0,-401.5542907714844,127.37158203125,60.95409393310547,43.83780288696289,-66.18550872802734,25.61607551574707,9.084602355957031,16.24007225036621,-47.23329544067383,18.964412689208984,-0.3905448913574219,16.392738342285156,-17.974506378173828,12.867027282714844,-3.9832403659820557,10.397533416748047,-15.197742462158203,10.37646770477295,-11.924555778503418,9.866781234741211,-8.487640380859375,15.401529312133789,2.7365500926971436,22.25368881225586,11.378026962280273,23.817642211914062
