trida,cesta,soubor,format,casove_razitko,verze_aplikace,kod_pohlavi,pohlavi,kod_veku,vekova_kategorie,kod_tridy,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delka_signalu_s,vzorkovaci_frekvence_hz,trida_cz
belly_pain,..\dataset\belly_pain\549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,.wav,1430130772174,1.7,m,chlapec,48,4–8 týdnů,bp,-405.8760070800781,167.99851989746094,27.12164306640625,53.74767303466797,-42.24820327758789,37.8980712890625,-0.3469376266002655,12.560102462768555,-33.40462875366211,20.846036911010742,4.665828227996826,10.834102630615234,-17.678110122680664,18.738201141357422,2.7751901149749756,11.39401912689209,-8.659680366516113,8.996586799621582,-9.639955520629883,6.247529029846191,-9.528885841369629,8.201891899108887,2.9254961013793945,13.255345344543457,12.073722839355469,19.60221290588379,6.86,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,.wav,1430138495,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-383.83685302734375,62.96184539794922,38.42684555053711,14.573431015014648,-19.573413848876953,13.134126663208008,-8.295806884765625,9.547904014587402,-19.087879180908203,7.512861251831055,-19.339635848999023,11.04007625579834,-16.694019317626953,6.688328266143799,-14.295869827270508,5.747434616088867,-14.658415794372559,6.07813024520874,-14.466268539428711,5.700342655181885,-15.466560363769531,6.321782112121582,-7.020198822021484,7.385770320892334,-10.439179420471191,10.349352836608887,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,.wav,1430138506,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-304.175048828125,90.4518051147461,41.77836608886719,18.961071014404297,-26.645769119262695,12.024654388427734,-17.83406639099121,12.677461624145508,-29.084251403808594,13.117467880249023,-16.714412689208984,11.133842468261719,-19.668498992919922,8.196817398071289,-15.114858627319336,6.59967565536499,-17.23432731628418,8.949138641357422,-9.661561012268066,8.05707836151123,-10.691088676452637,10.224451065063477,-6.565114974975586,9.808588027954102,-10.446558952331543,9.109766006469727,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,.wav,1430138514,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-252.5374755859375,69.466064453125,35.87653732299805,24.237730026245117,-35.229087829589844,23.26162338256836,-20.08746910095215,11.34511661529541,-29.121030807495117,17.09807586669922,-21.32464027404785,10.436059951782227,-22.387121200561523,6.314330101013184,-8.064094543457031,8.309406280517578,-21.7066650390625,6.498291015625,-13.885672569274902,11.125185012817383,-8.505555152893066,11.139975547790527,-0.13246844708919525,16.584367752075195,-0.6432788968086243,17.46711540222168,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,.wav,1430138524,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-171.50912475585938,44.75914001464844,41.75074005126953,13.609106063842773,-15.1365966796875,10.888376235961914,-21.78959083557129,10.678194046020508,-37.22489929199219,9.62252140045166,-26.083993911743164,9.975550651550293,-20.842267990112305,7.209820747375488,-14.546899795532227,6.265142917633057,-14.981940269470215,6.9359235763549805,-10.887065887451172,8.2161283493042,-10.158533096313477,10.21048641204834,-4.346590042114258,10.568473815917969,-6.5287556648254395,9.394225120544434,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,.wav,1430138536,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-253.0128173828125,101.8070068359375,12.286332130432129,27.72184181213379,-23.774856567382812,18.0163631439209,-21.095436096191406,19.292028427124023,-25.712905883789062,11.379497528076172,-8.218640327453613,13.810163497924805,-15.8965482711792,8.288568496704102,-3.5401499271392822,14.561829566955566,-15.873190879821777,12.14089584350586,-9.256997108459473,11.156269073486328,-9.103107452392578,10.655691146850586,-4.828219413757324,13.06647777557373,-2.4533193111419678,15.026145935058594,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,.wav,1430138545,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-286.06768798828125,49.60326385498047,35.96877670288086,21.706045150756836,-8.508418083190918,12.585615158081055,-21.856731414794922,10.70775032043457,-26.968074798583984,9.661355972290039,-26.799402236938477,11.613080978393555,-24.480300903320312,5.894862174987793,-19.031469345092773,7.596425533294678,-16.214439392089844,6.901598930358887,-14.59510612487793,9.736759185791016,-7.191837787628174,13.235213279724121,7.34165096282959,18.725051879882812,5.705967426300049,18.561809539794922,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,.wav,1430138591,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-374.42974853515625,76.52466583251953,62.808082580566406,20.726055145263672,-15.663871765136719,13.449623107910156,-15.97738265991211,12.984807968139648,-25.642393112182617,13.887228012084961,-19.057483673095703,13.640141487121582,-22.40447425842285,8.91708755493164,-15.582700729370117,6.634170055389404,-8.043989181518555,7.264069557189941,-8.955859184265137,5.517892360687256,-9.61336898803711,7.252553939819336,-3.2104413509368896,11.259087562561035,-2.4101345539093018,18.713573455810547,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,.wav,1430138647,1.0,m,chlapec,72,7 měsíců–2 roky,bp,-283.2803649902344,83.08940887451172,18.541217803955078,18.360841751098633,0.6882137060165405,14.08630084991455,-34.2052001953125,14.604195594787598,-21.659469604492188,9.599925994873047,-24.454397201538086,11.173002243041992,-19.10822296142578,8.827125549316406,-14.698356628417969,9.490008354187012,-15.293091773986816,7.381424427032471,-8.801238059997559,13.985063552856445,-2.7222607135772705,15.461064338684082,9.429682731628418,18.28953742980957,11.1241455078125,19.99240493774414,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,.wav,1436936185,1.1,m,chlapec,26,2–6 měsíců,bp,-119.30599212646484,101.90079498291016,28.296003341674805,41.92982864379883,-32.92665100097656,25.68344497680664,-32.281368255615234,22.066102981567383,-23.559890747070312,17.875886917114258,-12.247207641601562,15.845372200012207,-2.1667656898498535,11.012941360473633,-4.802994728088379,10.43044376373291,-10.814644813537598,9.715934753417969,-7.158371925354004,9.814611434936523,-10.734647750854492,12.526503562927246,-1.1721165180206299,14.912497520446777,3.5531933307647705,19.254329681396484,7.0,8000,bolest břicha
belly_pain,..\dataset\belly_pain\999bf14b-e417-4b44-b746-9253f81efe38-1430974001343-1.7-m-26-bp.wav,999bf14b-e417-4b44-b746-9253f81efe38-1430974001343-1.7-m-26-bp.wav,.wav,1430974001343,1.7,m,chlapec,26,2–6 měsíců,bp,-303.52203369140625,155.2831268310547,28.625192642211914,42.62574768066406,-41.92399215698242,39.35502624511719,11.03619384765625,15.093762397766113,-54.66635513305664,27.93665885925293,25.68219757080078,13.299345016479492,-11.044600486755371,9.847420692443848,-6.616596221923828,10.218536376953125,-5.2556915283203125,6.941780090332031,-9.441169738769531,7.853633880615234,-14.11290454864502,9.344656944274902,-2.9811766147613525,13.926520347595215,1.635009765625,16.14398193359375,6.9,8000,bolest břicha
